Locus,Consensus.RSID,Consensus.ID,CredSet.RSID,Total.size,GWAS.nom.sig.size,GWAS.sig.size,CredSet.size,Consensus.size,GWAS.lead_Consensus,psychENCODE_eQTL.sig_Consensus,Fairfax_2014_CD14.sig_Consensus,Fairfax_2014_IFN.sig_Consensus,Fairfax_2014_LPS2.sig_Consensus,Fairfax_2014_LPS24.sig_Consensus,Cardiogenics_macrophages.sig_Consensus,Cardiogenics_monocytes.sig_Consensus,MESA_CAU.sig_Consensus,GWAS.lead_CredSet,psychENCODE_eQTL.sig_CredSet,Fairfax_2014_CD14.sig_CredSet,Fairfax_2014_IFN.sig_CredSet,Fairfax_2014_LPS2.sig_CredSet,Fairfax_2014_LPS24.sig_CredSet,Cardiogenics_macrophages.sig_CredSet,Cardiogenics_monocytes.sig_CredSet,MESA_CAU.sig_CredSet,ABF.PP,SUSIE.PP,POLYFUN_SUSIE.PP,FINEMAP.PP,mean.PP,QTL.count,Effect,psychENCODE_eQTL.Effect,Fairfax_2014_CD14.Effect,Fairfax_2014_IFN.Effect,Fairfax_2014_LPS2.Effect,Fairfax_2014_LPS24.Effect,Cardiogenics_macrophages.Effect,Cardiogenics_monocytes.Effect,MESA_CAU.Effect,MAF,mean.PP_avg,QTL.count_avg,Novel.Locus,GWAS.lead_Consensus.any,GWAS.lead_CredSet.any
CHRNB1,rs67328311,17:7352976,"rs11078688, rs11658168, rs12600861, rs12949829, rs1641519, rs1641535, rs1642797, rs4796309, rs55749333, rs62059792, rs6503034, rs67328311, rs7209131, rs8065577, rs8076642, rs9217, rs9630707, rs9675122",1725,558,3,18,1,N,Y,Y,Y,N,Y,N,N,Y,"N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, Y, N, N, N, N, N, Y, N, Y, Y, Y, Y, Y, N, Y, N","N, Y, Y, N, N, N, N, Y, Y, Y, Y, Y, Y, Y, Y, Y, Y, Y","N, Y, Y, N, N, N, N, Y, Y, Y, Y, Y, Y, Y, Y, Y, Y, Y","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, Y, Y, N, N, N, N, N, Y, N, Y, Y, Y, Y, Y, Y, Y, Y","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, Y, Y, Y, N, N, N, Y, Y, Y, Y, Y, Y, N, Y, Y, Y, N",0.102,1,0,1,0.526,5,0.054,0.152,0.814,0.828,0.36,0.655,-0.597,0.319,0.226,0.359,0.525607324572394,5,Y,FALSE,TRUE
MEX3C,rs1893379,18:48718536,"rs11082862, rs11082863, rs111580441, rs11873588, rs17737030, rs1893379, rs1941960, rs2008986, rs2008987, rs62092949, rs7237500, rs74445380, rs9963878",1647,240,16,13,1,N,N,Y,Y,N,N,N,N,Y,"N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","Y, Y, N, N, N, Y, Y, N, Y, N, N, N, N","Y, Y, N, Y, N, Y, Y, N, Y, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N","Y, Y, N, Y, N, Y, Y, Y, Y, Y, N, N, N",0.039,1,0,1,0.51,3,0.056,0.053,-0.432,-0.449,-0.362,-0.194,0.455,0.41,-0.074,0.454,0.509727568701568,3,Y,FALSE,FALSE
DNAH17,rs72914896,17:76423478,"rs11077365, rs113431331, rs11649879, rs55973973, rs56246296, rs56716368, rs600850, rs600960, rs62073472, rs6501210, rs650889, rs662060, rs666463, rs72903322, rs72907433, rs72914877, rs72914882, rs72914896, rs72914899, rs72925845, rs74833757, rs76123789, rs8069546, rs8081627",2455,433,80,24,1,N,Y,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N","Y, Y, N, N, N, Y, Y, Y, N, N, Y, N, Y, Y, Y, Y, Y, Y, Y, N, N, N, Y, Y","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.017,1,1,0,0.504,1,-0.075,-0.196,-0.012,0.046,-0.107,-0.261,NA,0.317,NA,0.168,0.504154424313108,1,Y,FALSE,TRUE
KRTCAP2,rs1870939,1:155055496,"rs10494300, rs11264304, rs11264306, rs113932675, rs12087657, rs12122731, rs1462855, rs1870939, rs35902694, rs4845390, rs4845668, rs4845669, rs4845712, rs58939130, rs6675468, rs72702269",1017,231,31,16,1,N,Y,N,N,N,N,N,N,N,"N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, Y, N, N, Y, N, N, Y, N, N, N, Y, N, N, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.001,1,0,1,0.5,1,0.058,-0.075,0.116,0.159,0.076,0.038,-0.611,-0.291,-0.02,0.441,0.500212431148706,1,N,FALSE,TRUE
MED12L,rs4679817,3:151108552,"rs10935845, rs11717169, rs12493628, rs12497065, rs1456139, rs16863374, rs17204459, rs4679817, rs62285909, rs62285923, rs6440706, rs6798637, rs6809546, rs73157974, rs73159907, rs7637803, rs9859538",2052,387,40,17,1,N,Y,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, Y, Y, N, N, N, Y, N, N, N, Y, N, N, Y, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.044,1,0,1,0.511,1,0.063,-0.186,-0.037,0.126,0.114,0.009,NA,NA,NA,0.367,0.511004301202795,1,Y,FALSE,FALSE
SNCA,rs356203,4:90666041,"rs181489, rs181490, rs2572323, rs356167, rs356182, rs356183, rs356203, rs356206, rs356215, rs356218, rs356219, rs356220, rs356221, rs60838312, rs7684318, rs9999231",1853,1128,559,16,1,N,N,Y,N,N,N,N,N,N,"N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N","N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N","Y, Y, Y, N, Y, Y, Y, Y, Y, Y, Y, Y, Y, N, N, N","Y, Y, Y, N, N, N, N, Y, N, Y, N, N, N, N, N, N","Y, Y, Y, N, N, N, N, Y, N, Y, N, N, N, N, N, N","Y, Y, Y, N, N, N, N, Y, N, Y, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","Y, Y, Y, Y, N, N, N, Y, N, Y, N, N, N, N, N, N",0,1,0,1,0.5,1,-0.25,NA,0.733,0.354,0.381,0.385,-0.564,-0.405,NA,0.385,0.500040512237647,1,N,FALSE,TRUE
CAMK2D,rs9812,4:114372480,"rs10026618, rs13117519, rs13150144, rs17046072, rs17446453, rs17483653, rs17625836, rs2135352, rs2293323, rs4833431, rs6811901, rs7684078, rs78738012, rs9812",2046,315,9,14,1,N,N,N,N,N,N,N,N,N,"N, Y, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.001,1,0,1,0.5,0,-0.072,NA,0.175,0.203,0.115,-0.107,NA,NA,NA,0.193,0.500265193678205,0,N,FALSE,TRUE
DLG2,rs4143313,11:83491397,"rs1037353, rs1155312, rs11607507, rs1228630, rs1914203, rs4143313, rs4143314, rs4480568, rs500359, rs533209, rs6592145, rs662966, rs715858, rs7926468, rs79369643",2082,703,19,15,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.004,1,0,1,0.501,0,-0.054,NA,0.103,0.075,0.013,0.159,NA,NA,NA,0.413,0.501115723684302,0,N,FALSE,FALSE
ELOVL7,rs76281741,5:60278724,"rs10054494, rs10062465, rs10076363, rs11959142, rs139392063, rs158700, rs17387940, rs1870681, rs1870683, rs2694528, rs34724099, rs59155887, rs76281741, rs76486536, rs7701624, rs78406720, rs78620886",1381,776,232,17,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.078,1,0,1,0.519,0,0.153,0.095,-0.077,-0.058,0.189,0.183,NA,NA,NA,0.098,0.519443590088157,0,N,FALSE,FALSE
FAM171A2,rs5910,17:42449789,"rs11654428, rs12185253, rs1558084, rs184229944, rs5910, rs5911, rs59601921, rs7211387, rs758020, rs78381127, rs8064669, rs8064954, rs8069212, rs850713, rs850731, rs850734, rs850735",1380,686,43,17,1,N,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, Y, N, N, N, Y, N, N, N, N, N, N, N, Y, Y, Y, Y","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.103,1,0,1,0.526,0,0.069,NA,NA,NA,NA,NA,NA,NA,NA,0.386,0.525847071183463,0,Y,FALSE,FALSE
