CHR POS RSID ZSCORE.P1 Posterior_Prob
chr12 40617202 rs7294619 -1.36659649911139 0.00000e+00
chr12 40736782 rs1035812 -0.333250923211418 0.00000e+00
chr12 40737908 rs1035813 -0.333250923211418 0.00000e+00
chr12 40738008 rs10459264 -1.02991218237349 0.00000e+00
chr12 40738303 rs10459265 0.351764023107518 0.00000e+00
chr12 40707201 rs10467144 -0.396776265992154 0.00000e+00
chr12 40599398 rs10506147 -1.9891448583626 0.00000e+00
chr12 40632594 rs10506148 0.385644205923911 0.00000e+00
chr12 40666760 rs10506150 0.242712184667255 0.00000e+00
chr12 40670998 rs10506151 0.056371179177096 0.00000e+00
chr12 40723475 rs10506152 -0.612762431446656 0.00000e+00
chr12 40725571 rs10506153 -1.08390872373712 0.00000e+00
chr12 40731013 rs10506154 -2.21995360379928 0.00000e+00
chr12 40735939 rs10506155 -0.612762431446656 0.00000e+00
chr12 40733082 rs10732751 0.299884993169917 0.00000e+00
chr12 40714501 rs10735931 -0.388306220288056 0.00000e+00
chr12 40732900 rs10735934 0.351764023107518 0.00000e+00
chr12 40615069 rs10748014 0.00978592780455623 0.00000e+00
chr12 40711046 rs10748029 0.367645358802702 0.00000e+00
chr12 40714188 rs10748030 0.362351580237641 0.00000e+00
chr12 40714395 rs10748033 0.362351580237641 0.00000e+00
chr12 40714618 rs10748034 0.363410335950653 0.00000e+00
chr12 40748547 rs10748040 0.316825084578114 0.00000e+00
chr12 40604608 rs10784428 0.00343339352648264 0.00000e+00
chr12 40633488 rs10784444 0.523282448615506 0.00000e+00
chr12 40649888 rs10784451 -0.300429496108038 0.00000e+00
chr12 40649975 rs10784452 -0.522768195840614 0.00000e+00
chr12 40657537 rs10784461 -0.610644920020632 0.00000e+00
chr12 40657771 rs10784462 -0.60958616430762 0.00000e+00
chr12 40663596 rs10784470 0.0309610420648016 0.00000e+00
chr12 40670870 rs10784485 1.00501629803609 0.00000e+00
chr12 40677029 rs10784486 -0.359719816036725 0.00000e+00
chr12 40689982 rs10784497 0.980664916636804 0.00000e+00
