snp	V.df1	z.df1	r.df1	lABF.df1	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4	Colocalized
rs1000499	0.00015625	-0.296	0.996108949416343	-2.7309005015916	0.000343461408051372	0.765976312258237	0.987380730827874	-1.89660729842864	-4.62750780002024	2.26616464028383e-40	FALSE
rs10047563	0.00020449	-1.48951048951049	0.994913752170467	-1.53692897376221	0.000372901213460678	0.240243512795343	0.986313873523307	-2.11722280057518	-3.65415177433739	5.99811253620026e-40	FALSE
rs1005955	1e-04	-1.8	0.997506234413965	-1.38102061390265	0.000276470981785843	0.446551573198772	0.989816992340666	-2.19482856621036	-3.575849180113	6.48665790041546e-40	FALSE
rs1005956	9.409e-05	3.78350515463918	0.997653270095418	4.11329278749454	0.000303204905527845	-4.43280551039056	0.988843311328625	7.46741115285604	11.5807039403506	2.47986694162732e-33	FALSE
rs10082797	0.00015625	-3.248	0.996108949416343	2.47968963070413	0.000357326326469014	2.25790653884861	0.986877998233556	0.348889588607244	2.82857921931137	3.92128951299678e-37	FALSE
rs10082977	0.00018225	0.466666666666667	0.995464415257981	-2.58950561785477	0.000259972107554398	-1.56944844669749	0.990418858227526	-1.10419502511825	-3.69370064297302	5.76552360154688e-40	FALSE
rs10083205	0.00018225	-0.962962962962963	0.995464415257981	-2.23635471651867	0.000515176679869693	-0.992843299438398	0.981190334693104	-1.50309400518527	-3.73944872170394	5.5077043065802e-40	FALSE
rs10128778	0.00024649	3.8343949044586	0.993875490757082	4.75854076031666	0.000580463008521935	-0.126772872387321	0.978857057181832	-1.92035876838393	2.83818199193273	3.95912614209287e-37	FALSE
rs10128997	0.00022801	-3.64238410596027	0.994332058682495	4.00941815145422	0.000464804197375189	-0.213341026661453	0.982998220345677	-2.01484834344587	1.99456980800835	1.70303362457055e-37	FALSE
rs1013929	0.00010816	-1.30769230769231	0.997303291898706	-2.10513791519718	0.000282759158891269	1.32299878686277	0.989587797091108	-1.41633788064883	-3.52147579584601	6.84912441125527e-40	FALSE
rs1014167	0.00023104	0.697368421052632	0.994257170582714	-2.33813670698533	0.00210622702248618	-0.787984685928214	0.927321319277661	-1.02295747943464	-3.36109418641998	8.0405897328324e-40	FALSE
rs10161139	0.00010404	-1.33333333333333	0.997405747650361	-2.09064557108424	0.000275669853533239	0.747436806283293	0.989846199968332	-2.01845900840479	-4.10910457948904	3.80566991389323e-40	FALSE
rs1019709	9.025e-05	6.06315789473684	0.997748829204108	15.2914107666235	0.00026064259293219	2.83555251407704	0.990394385183465	1.65885900140838	16.9502697680319	5.32600032206e-31	FALSE
rs10219499	0.001681	2.99756097560976	0.959669873563494	2.70616704328573	0.00183648337701123	-0.0630309160454721	0.936033856265878	-1.37284128711604	1.33332575616969	8.79120849060387e-38	FALSE
rs10219652	0.00017689	1.7218045112782	0.995597220193001	-1.23698045831178	0.000349576413477326	0.437845759024728	0.987158941733026	-2.08293020057065	-3.31991065888243	8.37864291358308e-40	FALSE
rs10219699	0.00017424	-0.659090909090909	0.995662892440529	-2.50401541533349	0.000462370343909864	0.799346982209842	0.983085740921477	-1.72572507144698	-4.22974048678048	3.37318070965819e-40	FALSE
rs10219754	0.00023104	-1.00657894736842	0.994257170582714	-2.07621036225058	0.00060809500227455	-0.749735534378403	0.977872852337678	-1.6306421980544	-3.70685256030499	5.69019237266345e-40	FALSE
rs1031996	8.836e-05	-0.851063829787234	0.997795868925543	-2.69735437465446	0.000257143546818814	7.30811760056931	0.990522115392398	24.1217941740198	21.4244397993653	4.67206142636725e-29	FALSE
rs1035811	0.00013924	1.00847457627119	0.996531075326788	-2.325208811825	0.000392122720539947	2.10390246050453	0.985618556183836	0.0604654665665998	-2.2647433452584	2.40672807183305e-39	FALSE
rs1035812	0.00017161	-2.29007633587786	0.995728077615012	-0.116822801697968	0.000274360418796395	-2.24847457972394	0.989893943204727	0.204962509689054	0.0881397079910862	2.53087764737032e-38	FALSE
rs1035813	0.00017161	-2.29007633587786	0.995728077615012	-0.116822801697968	0.000274090203054063	-2.25413631198326	0.989903796101072	0.217117302964525	0.100294501266557	2.56182765641786e-38	FALSE
rs1041345	0.00012769	2.1858407079646	0.996817908033082	-0.49376028129484	0.000313148853690571	-0.401939630670366	0.988481629620514	-2.15205874141689	-2.64581902271173	1.64409897907206e-39	FALSE
rs1041348	0.00159201	0.709273182957394	0.961723177119836	-1.38954906326166	0.00207549822885259	0.182741444870515	0.928305643917623	-1.30217150354537	-2.69172056680703	1.57033811645784e-39	FALSE
rs10431513	1e-04	-0.36	0.997506234413965	-2.93234230966325	0.000264228678013051	2.51481232644877	0.99026351185552	0.815414981728432	-2.11692732793481	2.79011885656935e-39	FALSE
rs10431573	0.00010404	-0.0588235294117647	0.997405747650361	-2.9755028424042	0.000366728678512976	-0.742103016600894	0.986537366484307	-1.88226726566218	-4.85777010806638	1.80007172028169e-40	FALSE
rs10431574	0.00011664	-1.73148148148148	0.99709247833318	-1.42557146628002	0.000306061205621219	2.05494356195386	0.988739394768268	-0.155601534866011	-1.58117300114603	4.76757849344862e-39	FALSE
rs10431586	0.00010404	1.50980392156863	0.997405747650361	-1.84043132643147	0.000252294139642177	1.41612591980764	0.990699194060811	-1.3454467776562	-3.18587810408767	9.58039202837691e-40	FALSE
rs10437933	0.00013456	3.99137931034483	0.996647278554941	5.08985666882678	0.000356238965880112	1.53430919634293	0.986917406694498	-1.00658288609756	4.08327378272922	1.37510491156611e-36	FALSE
rs10437934	0.00013225	4.09565217391304	0.996704645266587	5.50192389107273	0.000356345280141022	1.53500179778464	0.986913553481141	-1.00539118335755	4.49653270771518	2.07879615081953e-36	FALSE
rs10444570	0.00017424	1.78030303030303	0.995662892440529	-1.14240755255383	0.000355759478984331	0.502283763021368	0.986934785407784	-2.04440459311272	-3.18681214566654	9.57144772170794e-40	FALSE
rs10444572	0.00131044	-0.265193370165746	0.968278236687869	-1.69132784166107	0.00560261233906976	0.57130559779253	0.827486495128152	-0.743598184048558	-2.43492602570963	2.03010090369481e-39	FALSE
rs10459264	0.000324	-5.32222222222222	0.991965082829084	11.6372466668826	0.000742740335506446	1.4797972686827	0.97310519431836	-0.742458198132565	10.89478846875	1.24893280988379e-33	FALSE
rs10459265	8.649e-05	3.73118279569893	0.997842415237652	3.87646095229808	0.000234711213349482	1.02136184545113	0.991341775213885	-1.85754881761682	2.01891213468126	1.7449981098526e-37	FALSE
rs10467144	8.836e-05	-3.82978723404255	0.997795868925543	4.25875987679569	0.000260818529514297	2.48129664807362	0.990387963612527	0.726457088446315	4.985216965242	3.38879096417174e-36	FALSE
