ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000182795	C1orf116	1	207191866	207206101	-1	protein_coding	79098	C1orf116	0.371958031808421	-0.290447916	7	1.034	1.769e-15	rs679515	1
ENSG00000180667	YOD1	1	207217194	207226325	-1	protein_coding	55432	YOD1	0.543401293595549	-0.12709038	7	1.034	1.769e-15	rs679515	1
ENSG00000123836	PFKFB2	1	207222801	207254369	1	protein_coding	5208	PFKFB2	0.0010886274208406	-0.541608281	10	2.795	1.555e-16	rs679515	1
ENSG00000123843	C4BPB	1	207262187	207273338	1	protein_coding	725	C4BPB	2.57853683497245e-06	-0.112843343	11	5.846	1.555e-16	rs679515	1
ENSG00000123838	C4BPA	1	207277607	207318317	1	protein_coding	722	C4BPA	0.0127393583379383	-0.196099813	24	5.846	1.555e-16	rs679515	1
ENSG00000196352	CD55	1	207494853	207534311	1	protein_coding	1604	CD55	2.49092265860477e-07	-0.685450581	26	10.14	1.555e-16	rs679515;rs11118328	1
ENSG00000117322	CR2	1	207627575	207663240	1	protein_coding	1380	CR2	2.16539872051034e-11	-0.53372421	26	10.14	1.555e-16	rs679515;rs11118328	1
ENSG00000203710	CR1	1	207669492	207813992	1	protein_coding	1378	CR1	9.34032929712518e-08	-0.190558521	26	10.14	1.555e-16	rs679515;rs11118328	1
ENSG00000197721	CR1L	1	207818458	207911761	1	protein_coding	1379	CR1L	3.55709649735169e-15	0.116485807	26	10.14	1.555e-16	rs679515;rs11118328	1
ENSG00000117335	CD46	1	207925402	207968858	1	protein_coding	4179	CD46	0.000191603012709758	-0.601552178	26	10.14	1.555e-16	rs679515;rs11118328	1
ENSG00000174059	CD34	1	208057594	208084747	-1	protein_coding	947	CD34	0.00344956865429019	0.632374797	26	10.14	1.555e-16	rs679515;rs11118328	1
ENSG00000076356	PLXNA2	1	208195587	208417665	-1	protein_coding	5362	PLXNA2	0.993981181863515	0.644433149	21	10.14	1.555e-16	rs679515;rs11118328	1
ENSG00000136732	GYPC	2	127413509	127454246	1	protein_coding	2995	GYPC	0.0138697690065761	-0.58219646	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000237524	AC114783.1	2	127656472	127659673	1	protein_coding	101929926	TEX51	NA	NA	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000136717	BIN1	2	127805603	127864931	-1	protein_coding	274	BIN1	0.474193121768888	NA	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000186684	CYP27C1	2	127941696	127977654	-1	protein_coding	339761	CYP27C1	0.000184566831654872	1.07106835	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000163161	ERCC3	2	128014866	128051752	-1	protein_coding	2071	ERCC3	2.05509479327392e-05	0.288711264	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000169967	MAP3K2	2	128056306	128146041	-1	protein_coding	10746	MAP3K2	0.999560916816359	-1.318377924	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000115718	PROC	2	128176003	128186822	1	protein_coding	5624	PROC	0.0324754428971477	0.404688534	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000163166	IWS1	2	128193783	128284462	-1	protein_coding	55677	IWS1	0.986444880095647	-0.459783873	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000169994	MYO7B	2	128293378	128395304	1	protein_coding	4648	MYO7B	6.3829496749846e-16	-0.044016604	73	14.56	4.022e-28	rs1060743;chr2:127865132:D;rs35103166;rs11680911;rs6710467;chr2:127886546:D;rs719054;rs6733839;rs745717	2
ENSG00000156564	LRFN2	6	40359325	40555204	-1	protein_coding	57497	LRFN2	0.117460637188488	-0.504984948	1	0.006	4.467e-12	rs114812713	3
ENSG00000124602	UNC5CL	6	40994772	41006928	-1	protein_coding	222643	UNC5CL	1.666644191506e-07	-0.3121337	2	5.35	4.467e-12	rs114812713	3
ENSG00000124596	OARD1	6	41001366	41065526	-1	protein_coding	221443	OARD1	0.12375137115757	-1.470139242	2	5.35	4.467e-12	rs114812713	3
ENSG00000112212	TSPO2	6	41010293	41012076	1	protein_coding	222642	TSPO2	4.28516292472018e-07	0.43300286	2	5.35	4.467e-12	rs114812713	3
ENSG00000124701	APOBEC2	6	41021043	41032250	1	protein_coding	10930	APOBEC2	0.132007272868405	-0.015967939	2	5.35	4.467e-12	rs114812713	3
ENSG00000001167	NFYA	6	41040684	41067715	1	protein_coding	4800	NFYA	0.0220592707694253	-1.835447667	2	5.35	4.467e-12	rs114812713	3
ENSG00000161911	TREML1	6	41117080	41122075	-1	protein_coding	340205	TREML1	1.00255175928297e-05	0.057973132	2	5.35	4.467e-12	rs114812713	3
ENSG00000095970	TREM2	6	41126244	41130924	-1	protein_coding	54209	TREM2	2.35316946822257e-08	-0.038338588	2	5.35	4.467e-12	rs114812713	3
ENSG00000112195	TREML2	6	41158015	41168932	-1	protein_coding	79865	TREML2	1.29204332519966e-07	1.905267244	2	5.35	4.467e-12	rs114812713	3
ENSG00000188056	TREML4	6	41196062	41206620	1	protein_coding	285852	TREML4	2.78304131594225e-05	3.905509844	2	5.35	4.467e-12	rs114812713	3
ENSG00000124731	TREM1	6	41235664	41254457	-1	protein_coding	54210	TREM1	0.000343966174620477	0.9119542	2	5.35	4.467e-12	rs114812713	3
ENSG00000096264	NCR2	6	41303393	41318625	1	protein_coding	9436	NCR2	0.000163783304597834	0.005934486	2	5.35	4.467e-12	rs114812713	3
ENSG00000137166	FOXP4	6	41514164	41570122	1	protein_coding	116113	FOXP4	0.671770825297787	-0.436538234	2	5.35	4.467e-12	rs114812713	3
ENSG00000069122	GPR116	6	46820249	46922680	-1	protein_coding	221395	GPR116	0.990814985963621	-0.049238151	1	1.102	4.209e-08	rs7745848	4
ENSG00000153292	GPR110	6	46965440	47010099	-1	protein_coding	266977	GPR110	4.78541618591994e-11	0.796317098	53	16.18	2.934e-08	rs7745848;rs1385742	4
ENSG00000146072	TNFRSF21	6	47199268	47277641	-1	protein_coding	27242	TNFRSF21	0.656653056375282	-0.435033251	98	16.18	2.232e-08	rs7745848;rs1385742	4
ENSG00000198087	CD2AP	6	47445525	47594999	1	protein_coding	23607	CD2AP	0.813221347122531	0.233036187	98	16.18	2.232e-08	rs7745848;rs1385742	4
ENSG00000164393	GPR111	6	47624172	47665533	1	protein_coding	222611	GPR111	2.1438019263369e-11	NA	98	16.18	2.232e-08	rs7745848;rs1385742	4
ENSG00000153294	GPR115	6	47653600	47689757	1	protein_coding	221393	GPR115	3.9103549200985e-06	-0.866417694	98	16.18	2.232e-08	rs7745848;rs1385742	4
ENSG00000124818	OPN5	6	47749718	47800516	1	protein_coding	221391	OPN5	0.948752683071951	0.472855387	98	16.18	2.232e-08	rs7745848;rs1385742	4
ENSG00000244694	PTCHD4	6	47845764	48036425	-1	protein_coding	442213	PTCHD4	0.00276059838903919	NA	98	16.18	2.232e-08	rs7745848;rs1385742	4
ENSG00000127412	TRPV5	7	142605267	142630905	-1	protein_coding	56302	TRPV5	4.66125605838153e-10	0.3986806	7	6.746	1.561e-08	rs11767557	5
ENSG00000165131	C7orf34	7	142636440	142637955	1	protein_coding	135927	C7orf34	0.000149478331950413	0.069826185	7	6.746	1.561e-08	rs11767557	5
ENSG00000197993	KEL	7	142638201	142659768	-1	protein_coding	3792	KEL	2.00929288413252e-16	-0.292955807	7	6.746	1.561e-08	rs11767557	5
ENSG00000179468	OR9A2	7	142723245	142724282	-1	protein_coding	135924	OR9A2	8.86431291599995e-05	0.048844543	7	6.746	1.561e-08	rs11767557	5
ENSG00000225781	OR6V1	7	142749417	142750444	1	protein_coding	346517	OR6V1	0.0764745296511436	0.480001359	7	6.746	1.561e-08	rs11767557	5
ENSG00000159763	PIP	7	142829170	142836839	1	protein_coding	5304	PIP	0.0055055964537849	-0.198326016	7	6.746	1.561e-08	rs11767557	5
ENSG00000236398	TAS2R39	7	142880512	142881528	1	protein_coding	259285	TAS2R39	5.30383482902454e-08	-0.111588599	7	6.746	1.561e-08	rs11767557	5
ENSG00000221937	TAS2R40	7	142919130	142920162	1	protein_coding	259286	TAS2R40	0.00249983201307608	-0.162099949	7	6.746	1.561e-08	rs11767557	5
ENSG00000268170	AC073342.1	7	142919163	142919360	-1	protein_coding	NA	NA	NA	NA	7	6.746	1.561e-08	rs11767557	5
ENSG00000197448	GSTK1	7	142941186	142967947	1	protein_coding	373156	GSTK1	1.10372350730423e-09	-0.514994102	7	6.746	1.561e-08	rs11767557	5
ENSG00000178826	TMEM139	7	142977050	142985141	1	protein_coding	135932	TMEM139	0.0187541363348994	-1.376139333	7	6.746	1.561e-08	rs11767557	5
ENSG00000106144	CASP2	7	142985308	143004789	1	protein_coding	835	CASP2	0.4231010544127	-1.251177826	7	6.746	1.561e-08	rs11767557	5
ENSG00000188037	CLCN1	7	143013219	143049176	1	protein_coding	1180	CLCN1	6.82240250810421e-13	0.097449667	7	6.746	1.561e-08	rs11767557	5
ENSG00000159784	FAM131B	7	143050493	143059863	-1	protein_coding	9715	FAM131B	0.921928277751244	-1.199665436	7	6.746	1.561e-08	rs11767557	5
ENSG00000159840	ZYX	7	143078173	143088204	1	protein_coding	7791	ZYX	7.73888873879817e-06	NA	7	6.746	1.561e-08	rs11767557	5
ENSG00000146904	EPHA1	7	143087382	143105985	-1	protein_coding	2041	EPHA1	5.30365074340992e-11	0.065892851	7	6.746	1.561e-08	rs11767557	5
ENSG00000185899	TAS2R60	7	143140546	143141502	1	protein_coding	338398	TAS2R60	6.30040071512039e-06	0.096102442	7	6.746	1.561e-08	rs11767557	5
ENSG00000221855	TAS2R41	7	143174966	143175889	1	protein_coding	259287	TAS2R41	4.9342909864345e-09	0.115373426	7	6.746	1.561e-08	rs11767557	5
ENSG00000271079	CTAGE15	7	143268894	143271480	1	protein_coding	441294	CTAGE15	0.784298473587336	NA	7	6.746	1.561e-08	rs11767557	5
ENSG00000170379	FAM115C	7	143318043	143427502	1	protein_coding	285966	FAM115C	NA	NA	7	6.746	1.561e-08	rs11767557	5
ENSG00000271321	CTAGE6	7	143452182	143454789	-1	protein_coding	340307	CTAGE6	0.366836244776785	-0.459252004	7	6.746	1.561e-08	rs11767557	5
ENSG00000198420	FAM115A	7	143548468	143599291	-1	protein_coding	9747	FAM115A	0.862004719189463	-1.24254694	7	6.746	1.561e-08	rs11767557	5
ENSG00000120907	ADRA1A	8	26605667	26724790	-1	protein_coding	148	ADRA1A	4.17186626185209e-07	-0.509098424	6	5.31	8.342e-10	rs73223431	6
ENSG00000253903	RP11-521M14.2	8	26943694	26944766	1	protein_coding	NA	NA	NA	NA	15	7.169	8.342e-10	rs73223431	6
ENSG00000015592	STMN4	8	27092840	27115937	-1	protein_coding	81551	STMN4	0.146519525068475	-0.181796118	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000104228	TRIM35	8	27142404	27168836	-1	protein_coding	23087	TRIM35	0.000940307552509518	-0.967121477	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000120899	PTK2B	8	27168999	27316903	1	protein_coding	2185	PTK2B	0.984520870569303	-0.296269216	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
ENSG00000120903	CHRNA2	8	27317279	27337400	-1	protein_coding	1135	CHRNA2	0.00176647920423662	2.564201934	29	7.169	3.492e-17	rs73223431;rs867230;rs9331908	6
