EID	locus	overlap	score	Annotation	GROUP	ANATOMY	GR	Epigenome.Mnemonic	Standardized.Epigenome.name	Epigenome.name	TYPE	pval	mean.nSnpOverlap	allSnps	mean.enrichment	chromatin_state	GS.pval
E067	rs12422278			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs117891010			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs76904798			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs17466626			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs11564266			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs76664306			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs144202154			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs11175620			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs17443656	1	0.534	E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
E067	rs7294619			E067_TssA_subset.bed.gz	Brain	BRAIN	Brain	BRN.ANG.GYR	Brain Angular Gyrus	Brain_Angular_Gyrus	PrimaryTissue	0.019	2.80619380619381	11	0.255111078921079	TssA	0.867
