CHR	POS	SNP	P	Effect	StdErr	leadSNP
12	39619031	rs79417137	0.0149755906277137	-0.172290877735386	0.0702780153341718	FALSE
12	39619505	rs4519132	0.776518579459048	-0.0112723778442557	0.0396641828851361	FALSE
12	39619966	rs67256505	0.392314022305446	0.0331260044908997	0.0386509342112487	FALSE
12	39620242	rs77495141	0.501681281206472	0.0216811855838759	0.0322196821026374	FALSE
12	39620637	rs77137744	0.885132551205205	0.00643433054154173	0.044488908233589	FALSE
12	39620683	rs75652112	0.562391181136703	0.0182127715835838	0.0313935989030639	FALSE
12	39621277	rs73266458	0.251592429042693	0.102577749781434	0.0892440530213016	FALSE
12	39621324	rs4403835	0.970981100421171	-0.000904875501420345	0.0248470791700525	FALSE
12	39621331	rs7350605	0.494240406905249	-0.0297985159007664	0.0435217262984132	FALSE
12	39621335	rs78162718	0.560578773368476	0.0182984578210084	0.0313954778338037	FALSE
12	39621441	rs145584968	0.0548262196954497	0.172948728778104	0.0896028248918703	FALSE
12	39621521	rs77470244	0.514747799096952	0.0248049416674032	0.0380163051051002	FALSE
12	39621538	rs75821956	0.183165715998613	-0.0807425147519099	0.0604754514959505	FALSE
12	39622094	rs17126974	0.507074464557313	0.0258654246732953	0.0389276346127457	FALSE
12	39622232	rs67004888	0.825369621966226	0.00767225305807395	0.0347321230646234	FALSE
12	39622235	rs114660317	0.0546138445683591	0.172543130869392	0.0893136858192687	FALSE
12	39622671	rs4259869	0.726692905062152	-0.0139335445968366	0.0398148491429193	FALSE
12	39623105	rs10876714	0.96162431226132	-0.00119657858632232	0.0248416402210698	FALSE
12	39623233	rs112754479	0.822458886616093	0.00780241120014126	0.0347326279047462	FALSE
12	39623248	rs7316355	0.980868287003655	-0.0008319076440086	0.0346531903223233	FALSE
12	39623291	rs147545849	0.448123438371191	-0.0533763382360909	0.0702449938790249	FALSE
12	39623347	rs140170603	0.548722872306702	0.0188563674907115	0.031397446607904	FALSE
12	39623581	rs144045294	0.144269011986713	-0.105486605009855	0.0719991949754087	FALSE
12	39623711	rs11171313	0.302470317142021	-0.0376070518563875	0.036388457141207	FALSE
12	39623842	rs4376944	0.49951817215899	-0.0168425261940291	0.0249029112806586	FALSE
12	39623948	rs148759900	0.439224575548393	-0.0754845084134942	0.0974168232953972	FALSE
12	39624353	rs80095397	0.0112419954059377	-0.225268986074632	0.0881372422934012	FALSE
12	39624662	rs75101078	0.151678189326526	-0.322618285709935	0.224282182937241	FALSE
12	39624835	rs78136118	0.0148236137407857	-0.172537282258439	0.0702705205374313	FALSE
12	39624901	rs10783713	0.810331035321326	-0.0076151641455794	0.0316932055146267	FALSE
