GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	35	8	455258	0.22539	0.41084	SAMD11
ENSG00000268179	1	861264	866445	5	1	455258	-0.20654	0.58181	AL645608.1
ENSG00000188976	1	879584	894689	44	8	455258	0.67886	0.24861	NOC2L
ENSG00000187961	1	895967	901095	15	5	455258	1.0033	0.15786	KLHL17
ENSG00000187583	1	901877	911245	27	11	455258	0.86843	0.19258	PLEKHN1
ENSG00000187642	1	910579	917497	22	5	455258	0.16137	0.4359	C1orf170
ENSG00000188290	1	934342	935552	4	2	455258	-0.53203	0.70265	HES4
ENSG00000187608	1	948803	949920	8	3	455258	-0.93589	0.82533	ISG15
ENSG00000188157	1	955503	991496	114	14	455258	0.64891	0.2582	AGRN
ENSG00000237330	1	1006346	1009687	9	3	455258	2.3234	0.010079	RNF223
ENSG00000131591	1	1017198	1051741	116	11	455258	-0.71525	0.76277	C1orf159
ENSG00000162571	1	1109264	1133315	157	19	455258	2.0028	0.022598	TTLL10
ENSG00000186891	1	1138888	1142071	11	2	455258	0.9021	0.1835	TNFRSF18
ENSG00000186827	1	1146706	1149518	8	3	455258	-2.3777	0.99129	TNFRSF4
ENSG00000078808	1	1152288	1167411	112	6	455258	-0.93473	0.82504	SDF4
ENSG00000176022	1	1167629	1170421	8	2	455258	0.45082	0.32606	B3GALT6
ENSG00000184163	1	1177826	1182102	13	3	455258	0.40775	0.34173	FAM132A
ENSG00000160087	1	1189289	1209265	64	11	455258	0.76764	0.22135	UBE2J2
ENSG00000162572	1	1215816	1227409	53	18	455258	-0.31686	0.62432	SCNN1D
ENSG00000131584	1	1227756	1244989	73	15	455258	0.8438	0.19939	ACAP3
ENSG00000169972	1	1243947	1247057	4	2	455258	-0.49404	0.68936	PUSL1
ENSG00000127054	1	1246965	1260071	24	8	455258	0.48737	0.313	CPSF3L
ENSG00000224051	1	1260136	1264277	11	2	455258	0.82774	0.20391	GLTPD1
ENSG00000169962	1	1266694	1270686	16	5	455258	0.51824	0.30214	TAS1R3
ENSG00000107404	1	1270656	1284730	46	9	455258	0.78798	0.21535	DVL1
ENSG00000162576	1	1288069	1297157	34	7	455258	0.62095	0.26732	MXRA8
ENSG00000175756	1	1309110	1310875	9	4	455258	1.5816	0.056871	AURKAIP1
ENSG00000221978	1	1321091	1334708	32	9	455258	0.42639	0.33491	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	455258	1.5419	0.061544	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	20	7	455258	0.90335	0.18317	MRPL20
ENSG00000235098	1	1353800	1357149	8	2	455258	0.17923	0.42888	ANKRD65
ENSG00000205116	1	1361508	1363167	10	4	455258	-0.10465	0.54167	TMEM88B
ENSG00000179403	1	1370241	1378262	24	6	455258	-1.5989	0.94508	VWA1
ENSG00000215915	1	1385069	1405538	89	14	455258	-0.68066	0.75196	ATAD3C
ENSG00000160072	1	1407143	1433228	112	13	455258	1.0957	0.1366	ATAD3B
ENSG00000197785	1	1447531	1470067	90	15	455258	1.7925	0.036526	ATAD3A
ENSG00000205090	1	1470554	1475833	11	4	455258	0.4088	0.34134	TMEM240
ENSG00000160075	1	1477053	1510249	113	13	455258	-0.0667	0.52659	SSU72
ENSG00000215014	1	1510355	1511373	6	2	455258	-0.1501	0.55966	AL645728.1
ENSG00000228594	1	1533392	1535476	1	1	455258	-2.2383	0.9874	C1orf233
ENSG00000197530	1	1550795	1565990	14	3	455258	-1.0059	0.84277	MIB2
ENSG00000248333	1	1570603	1590473	2	1	455258	0.73637	0.23075	CDK11B
ENSG00000189339	1	1592939	1624167	28	2	455258	0.59381	0.27632	SLC35E2B
ENSG00000008128	1	1634169	1655766	70	5	455258	-0.087398	0.53482	CDK11A
ENSG00000215790	1	1656277	1677431	63	8	455258	0.28978	0.38599	SLC35E2
ENSG00000008130	1	1682671	1711896	78	11	455258	-0.43673	0.66885	NADK
ENSG00000078369	1	1716729	1822495	180	23	455258	-0.92759	0.82319	GNB1
ENSG00000169885	1	1846266	1848735	11	3	455258	-0.49696	0.69039	CALML6
ENSG00000178821	1	1849029	1850712	6	3	455258	-0.47026	0.68091	TMEM52
ENSG00000142609	1	1853396	1935276	363	25	455258	0.74362	0.22855	C1orf222
ENSG00000187730	1	1950780	1962192	28	6	455258	-1.1298	0.87071	GABRD
ENSG00000067606	1	1981909	2116834	543	37	455258	-1.6863	0.95413	PRKCZ
ENSG00000162585	1	2115903	2144159	68	16	455258	-1.5857	0.9436	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	455258	-0.48618	0.68658	AL590822.2
ENSG00000203301	1	2143360	2145620	7	4	455258	0.14525	0.44226	AL590822.1
ENSG00000157933	1	2160134	2241558	272	43	455258	0.55462	0.28958	SKI
ENSG00000116151	1	2252692	2323146	353	42	455258	0.62159	0.2671	MORN1
ENSG00000269753	1	2258581	2259042	2	1	455258	1.2967	0.097366	AL589739.1
ENSG00000157916	1	2323267	2336883	45	14	455258	-0.8153	0.79255	RER1
ENSG00000157911	1	2336236	2345236	32	11	455258	-0.061008	0.52432	PEX10
ENSG00000149527	1	2357419	2436969	330	44	455258	-1.9678	0.97545	PLCH2
ENSG00000157881	1	2439972	2458039	48	9	455258	-0.99267	0.83956	PANK4
ENSG00000197921	1	2460184	2461684	3	2	455258	-1.4752	0.92992	HES5
ENSG00000157873	1	2487078	2496821	27	6	455258	-0.54846	0.70831	TNFRSF14
ENSG00000157870	1	2517930	2522908	13	6	455258	-0.44445	0.67164	FAM213B
ENSG00000142606	1	2522078	2564481	187	11	455258	0.65588	0.25595	MMEL1
ENSG00000215912	1	2567415	2718286	132	16	455258	0.58318	0.27989	TTC34
ENSG00000169717	1	2938046	2939465	8	3	455258	-0.097777	0.53895	ACTRT2
ENSG00000142611	1	2985732	3355185	1705	185	455258	-1.0165	0.8453	PRDM16
ENSG00000130762	1	3370990	3397677	120	17	455258	-1.1812	0.88123	ARHGEF16
ENSG00000162591	1	3406484	3528059	564	79	455258	-1.8121	0.96502	MEGF6
ENSG00000158109	1	3541566	3546691	17	5	455258	-0.51686	0.69737	TPRG1L
ENSG00000116213	1	3547331	3569325	49	12	455258	-0.59295	0.72339	WRAP73
ENSG00000078900	1	3569084	3652765	353	57	455258	-0.18103	0.57183	TP73
ENSG00000162592	1	3668962	3688209	78	17	455258	0.29452	0.38418	CCDC27
ENSG00000235169	1	3689352	3692546	17	8	455258	2.0933	0.018161	SMIM1
ENSG00000130764	1	3696784	3713068	88	17	455258	0.56857	0.28482	LRRC47
ENSG00000116198	1	3728645	3773778	338	19	455258	0.2491	0.40164	CEP104
ENSG00000169598	1	3773845	3801993	180	24	455258	0.14035	0.44419	DFFB
ENSG00000198912	1	3805689	3816857	57	10	455258	0.19279	0.42356	C1orf174
ENSG00000196581	1	4714792	4852594	802	93	455258	0.71309	0.2379	AJAP1
ENSG00000131697	1	5922871	6052533	537	29	455258	-0.030728	0.51226	NPHP4
ENSG00000069424	1	6051526	6161253	384	60	455258	-0.40554	0.65746	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	455258	-0.15468	0.56146	AL035406.1
ENSG00000116254	1	6161853	6240183	332	38	455258	-0.38492	0.64985	CHD5
ENSG00000116251	1	6241329	6269449	72	13	455258	-0.27328	0.60768	RPL22
ENSG00000158286	1	6265535	6281359	51	8	455258	-1.1465	0.8742	RNF207
ENSG00000116237	1	6281253	6296032	44	8	455258	-0.49136	0.68841	ICMT
ENSG00000173673	1	6304252	6305638	5	2	455258	-0.35452	0.63853	HES3
ENSG00000158292	1	6307406	6321035	41	4	455258	-0.16449	0.56533	GPR153
ENSG00000097021	1	6324329	6454451	527	29	455258	0.91801	0.17931	ACOT7
ENSG00000069812	1	6472478	6484730	49	9	455258	1.0645	0.14355	HES2
ENSG00000187017	1	6484848	6521430	116	12	455258	0.37673	0.35319	ESPN
ENSG00000215788	1	6521211	6526255	16	5	455258	-1.13	0.87075	TNFRSF25
ENSG00000171680	1	6526152	6580121	171	30	455258	-0.80099	0.78843	PLEKHG5
ENSG00000162408	1	6581407	6614595	149	7	455258	-1.1449	0.87388	NOL9
ENSG00000173662	1	6615241	6639817	68	13	455258	-1.4936	0.93236	TAS1R1
ENSG00000204859	1	6640061	6649340	16	8	455258	2.6585	0.0039247	ZBTB48
ENSG00000162413	1	6650784	6674667	64	17	455258	1.4979	0.067083	KLHL21
ENSG00000116273	1	6673745	6684093	27	7	455258	1.9207	0.027384	PHF13
ENSG00000041988	1	6684926	6695646	40	9	455258	3.0598	0.0011073	THAP3
ENSG00000007923	1	6694228	6761984	186	25	455258	2.046	0.020378	DNAJC11
ENSG00000171735	1	6845384	7829766	3520	245	455258	-0.020644	0.50823	CAMTA1
ENSG00000049245	1	7831329	7841492	40	11	455258	-1.2587	0.89592	VAMP3
ENSG00000049246	1	7844380	7905237	279	27	455258	-0.41444	0.66072	PER3
ENSG00000049247	1	7903143	7913572	47	14	455258	-0.65493	0.74374	UTS2
ENSG00000049249	1	7979907	8000926	50	8	455258	-1.0536	0.85396	TNFRSF9
ENSG00000116288	1	8014351	8045565	89	18	455258	-0.16109	0.56399	PARK7
ENSG00000116285	1	8064464	8086368	46	10	455258	-0.24547	0.59695	ERRFI1
ENSG00000162426	1	8377886	8404227	93	16	455258	2.7155	0.0033083	SLC45A1
ENSG00000142599	1	8412457	8877702	915	38	455258	2.6986	0.0034818	RERE
ENSG00000074800	1	8921061	8939308	40	10	455258	0.35634	0.36079	ENO1
ENSG00000131686	1	9005926	9035151	165	37	455258	0.22851	0.40962	CA6
ENSG00000197241	1	9063359	9086404	88	23	455258	0.51081	0.30474	SLC2A7
ENSG00000142583	1	9095166	9148537	237	35	455258	2.1488	0.015825	SLC2A5
ENSG00000180758	1	9160364	9189229	98	15	455258	-0.096022	0.53825	GPR157
ENSG00000049239	1	9294834	9331396	125	26	455258	0.85278	0.19689	H6PD
ENSG00000171621	1	9352939	9429591	415	65	455258	0.0064521	0.49743	SPSB1
ENSG00000171612	1	9599541	9645237	87	16	455258	-0.12437	0.54949	SLC25A33
ENSG00000188807	1	9648932	9674935	47	11	455258	0.026279	0.48952	TMEM201
ENSG00000171608	1	9711790	9789172	162	35	455258	-0.35759	0.63968	PIK3CD
ENSG00000179840	1	9712668	9714644	4	2	455258	-0.17232	0.56841	C1orf200
ENSG00000171603	1	9789084	9884584	293	18	455258	-1.6059	0.94585	CLSTN1
ENSG00000178585	1	9908334	9970394	141	21	455258	0.39489	0.34646	CTNNBIP1
ENSG00000162441	1	9982173	10003465	55	10	455258	-0.95766	0.83088	LZIC
ENSG00000173614	1	10003486	10045559	108	19	455258	-0.80938	0.79085	NMNAT1
ENSG00000162444	1	10057264	10076078	54	9	455258	-0.66028	0.74546	RBP7
ENSG00000130939	1	10092890	10241297	455	36	455258	-0.19039	0.5755	UBE4B
ENSG00000054523	1	10270863	10441661	620	19	455258	0.32744	0.37167	KIF1B
ENSG00000142657	1	10458649	10480201	57	9	455258	-0.21081	0.58348	PGD
ENSG00000175279	1	10490159	10512210	67	9	455258	1.1339	0.12843	APITD1
ENSG00000251503	1	10490159	10512210	67	9	455258	1.1339	0.12843	APITD1-CORT
ENSG00000241563	1	10509776	10511959	4	2	455258	0.6735	0.25031	CORT
ENSG00000160049	1	10516579	10532583	38	11	455258	0.76768	0.22134	DFFA
ENSG00000142655	1	10532345	10690815	464	35	455258	0.58618	0.27888	PEX14
ENSG00000130940	1	10696661	10856707	522	81	455258	0.27986	0.38979	CASZ1
ENSG00000175262	1	11006528	11042094	142	20	455258	1.0913	0.13756	C1orf127
ENSG00000120948	1	11072414	11085796	37	6	455258	2.6232	0.0043552	TARDBP
ENSG00000009724	1	11086580	11107290	62	9	455258	2.2721	0.011541	MASP2
ENSG00000116649	1	11114641	11120081	10	3	455258	0.89188	0.18623	SRM
ENSG00000171824	1	11126675	11159938	105	7	455258	0.86803	0.19269	EXOSC10
ENSG00000198793	1	11166592	11322564	367	10	455258	0.067093	0.47325	MTOR
ENSG00000171819	1	11249398	11256038	14	2	455258	-0.23666	0.59354	ANGPTL7
ENSG00000120942	1	11333263	11356106	41	6	455258	-1.1556	0.87607	UBIAD1
ENSG00000204624	1	11539223	11597641	172	19	455258	-0.59861	0.72528	PTCHD2
ENSG00000116661	1	11708424	11715842	24	13	455258	0.49728	0.3095	FBXO2
ENSG00000132879	1	11714432	11723384	31	10	455258	1.4036	0.080216	FBXO44
ENSG00000116663	1	11724181	11734411	38	9	455258	1.2701	0.10203	FBXO6
ENSG00000116670	1	11734537	11751707	72	16	455258	1.2611	0.10363	MAD2L2
ENSG00000162490	1	11751786	11785914	120	24	455258	0.92299	0.17801	DRAXIN
ENSG00000177674	1	11796141	11814859	68	12	455258	0.38546	0.34995	AGTRAP
ENSG00000215910	1	11821844	11849642	179	14	455258	1.0215	0.15351	C1orf167
ENSG00000177000	1	11845780	11866977	111	17	455258	2.3856	0.0085262	MTHFR
ENSG00000011021	1	11866207	11903201	256	17	455258	2.2224	0.013128	CLCN6
ENSG00000175206	1	11905766	11908402	19	5	455258	0.060362	0.47593	NPPA
ENSG00000120937	1	11917521	11918988	5	3	455258	-1.1714	0.87928	NPPB
ENSG00000116685	1	11979648	11986485	25	8	455258	1.1703	0.12093	KIAA2013
ENSG00000083444	1	11994262	12035595	149	18	455258	-2.0382	0.97923	PLOD1
ENSG00000116688	1	12040238	12073571	107	12	455258	-1.203	0.88552	MFN2
ENSG00000116691	1	12079523	12092102	24	6	455258	-1.0887	0.86186	MIIP
