# ALPHA = 0.05
# NUMBER_OF_TESTS = 10673

# _SET1_  VARIABLE = Curated_gene_sets:roversi_glioma_copy_number_up (set)
# _SET1_  NGENES = 98
# _SET1_  P-VALUE = 2.34472e-10
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_   ENSG00000136542     2  158114110  158170723    191      18  455258    -0.035058      0.51398
_SET1_   ENSG00000114346     3  172468472  172539264    200      23  455258       0.2252      0.41091
_SET1_   ENSG00000144962     3  172607148  172859058    816      62  455258     -0.47175      0.68145
_SET1_   ENSG00000169760     3  173114074  174004434   3202     168  455258     -0.17343      0.56884
_SET1_   ENSG00000189184     4  138440072  138453648     42      11  455258     0.097958      0.46098
_SET1_   ENSG00000151012     4  139085251  139163503    312      34  455258    0.0088039      0.49649
_SET1_   ENSG00000109586     4  174089904  174245118    466      52  455258     -0.64753      0.74136
_SET1_   ENSG00000164574     5  153570290  153800544   1026      66  455258       1.1228      0.13076
_SET1_   ENSG00000188107     6   64429876   66417118   8166     162  455258      0.91969      0.17887
_SET1_   ENSG00000106537     7   16793160   16824161    153      26  455258     -0.27837      0.60964
_SET1_   ENSG00000106546     7   17338246   17385776     81      25  455258     -0.53708      0.70439
_SET1_   ENSG00000155849     7   36893961   37488852   2389     156  455258    -0.096343      0.53838
_SET1_   ENSG00000004948     7   93053799   93204042    504      39  455258      -1.0475      0.85258
_SET1_   ENSG00000170615     7  102993177  103086624    256      30  455258      0.95844      0.16892
_SET1_   ENSG00000189056     7  103112231  103629963   2438     128  455258        1.661     0.048356
_SET1_   ENSG00000164815     7  103766788  103848495    470      27  455258      -1.0418      0.85126
_SET1_   ENSG00000005483     7  104654626  104754808    240      27  455258      0.53709       0.2956
_SET1_   ENSG00000008282     7  105730949  105753022     74      20  455258      0.39294      0.34718
_SET1_   ENSG00000105835     7  105888731  105926772    109      17  455258      0.45956      0.32292
_SET1_   ENSG00000105851     7  106505723  106547590     90      21  455258    -0.074841      0.52983
_SET1_   ENSG00000157680     7  137065783  137531838   1351      78  455258      0.50835      0.30561
_SET1_   ENSG00000033050     7  150904923  150924316     78      13  455258      0.10114      0.45972
_SET1_   ENSG00000082014     7  150935850  150974982    121      22  455258     -0.57233      0.71645
_SET1_   ENSG00000013374     7  151038785  151075535    173      30  455258        1.825        0.034
_SET1_   ENSG00000106615     7  151163098  151217206    140      22  455258      -1.0609      0.85563
_SET1_   ENSG00000106617     7  151253197  151574210   1373     157  455258      -0.6657       0.7472
_SET1_   ENSG00000178234     7  151722759  151819425    209      17  455258      0.32175      0.37382
_SET1_   ENSG00000055609     7  151832010  152133090    373      14  455258     -0.95726      0.83078
_SET1_   ENSG00000196584     7  152341864  152373250    109      18  455258      0.69809      0.24256
_SET1_   ENSG00000155093     7  157331750  158380480   4824     290  455258      -0.6289      0.73529
_SET1_   ENSG00000106018     7  158820866  158937649    530      31  455258      0.55335      0.29001
_SET1_   ENSG00000019505    11   45261852   45307870    179      26  455258      0.05689      0.47732
_SET1_   ENSG00000175264    11   45670427   45687172     55       9  455258      0.30431      0.38045
_SET1_   ENSG00000181830    11   45825623   45834566     34      11  455258       0.9267      0.17704
_SET1_   ENSG00000121671    11   45868669   45904798     93      19  455258       4.2144   1.2524e-05
_SET1_   ENSG00000121653    11   45907202   45928016     54      23  455258         2.71    0.0033641
_SET1_   ENSG00000121680    11   45931220   45940363     29       8  455258       1.3481      0.08881
_SET1_   ENSG00000135365    11   45950871   46142985    401      22  455258      0.68271       0.2474
_SET1_   ENSG00000157613    11   46299212   46342972     98      21  455258      0.28554      0.38761
_SET1_   ENSG00000149091    11   46354455   46402104     89      22  455258     -0.51897      0.69811
_SET1_   ENSG00000110492    11   46402306   46405375      4       2  455258     -0.35824      0.63992
_SET1_   ENSG00000180720    11   46406640   46408107      2       1  455258      0.26935      0.39383
_SET1_   ENSG00000175220    11   46698630   46722165     46      19  455258       2.9934    0.0013793
_SET1_   ENSG00000175213    11   46722368   46727462     11       5  455258     -0.11993      0.54773
_SET1_   ENSG00000180210    11   46740730   46761056     64      10  455258     -0.40329      0.65663
_SET1_   ENSG00000175216    11   46764598   46867847    191      27  455258      0.88771      0.18735
_SET1_   ENSG00000134569    11   46878419   46940193    161      23  455258      0.94281      0.17289
_SET1_   ENSG00000165912    11   47199076   47207994     28       9  455258      0.79938      0.21204
_SET1_   ENSG00000134574    11   47236493   47260767     68      11  455258       1.1608      0.12286
_SET1_   ENSG00000134575    11   47260853   47270457     31       7  455258       1.8012     0.035835
_SET1_   ENSG00000025434    11   47269851   47290396     59      10  455258      0.68281      0.24736
_SET1_   ENSG00000110514    11   47290712   47351582    179      22  455258       2.1892     0.014293
_SET1_   ENSG00000134571    11   47352957   47374253     55      17  455258         4.86   5.8681e-07
_SET1_   ENSG00000066336    11   47376411   47400127    101      14  455258       6.8327   4.1657e-12
_SET1_   ENSG00000165916    11   47440320   47447993     26       7  455258       6.3043   1.4471e-10
_SET1_   ENSG00000149177    11   48002113   48189670    478      38  455258       2.2821     0.011241
_SET1_   ENSG00000086205    11   49168187   49230222    216      19  455258       3.0725    0.0010615
_SET1_   ENSG00000130035    12    4829507    4960277    507      47  455258       1.6713     0.047333
_SET1_   ENSG00000139629    12   51745031   51786651    128      32  455258      0.28549      0.38763
_SET1_   ENSG00000182870    12  132680924  132905935    471      57  455258     -0.49375      0.68926
_SET1_   ENSG00000165416    13   53226844   53275044    169      11  455258       2.5664    0.0051382
_SET1_   ENSG00000136110    13   53277399   53313947    125      16  455258       2.4664    0.0068247
_SET1_   ENSG00000181733    19    8841316    8842371      3       2  455258     -0.72934       0.7671
_SET1_   ENSG00000170948    19    8943074    8954016     27       8  455258     0.081563       0.4675
_SET1_   ENSG00000105738    19   38397868   38699012   1019      57  455258       1.3803     0.083753
_SET1_   ENSG00000011332    19   38701646   38720354     63      12  455258      0.35823      0.36009
_SET1_   ENSG00000186567    19   45165545   45187631     40      14  455258       6.9514   7.0845e-13
_SET1_   ENSG00000069399    19   45250962   45263301     37      11  455258       6.9514   1.1906e-24
_SET1_   ENSG00000142273    19   45281126   45303891     69      14  455258       6.9514   1.1033e-16
_SET1_   ENSG00000187244    19   45312328   45324673     48      10  455258       6.9514   3.6266e-16
_SET1_   ENSG00000130202    19   45349432   45392485    200      29  455258       6.9514   5.7247e-75
_SET1_   ENSG00000130204    19   45393826   45406946     52      11  455258       6.9514  1.3754e-103
_SET1_   ENSG00000130203    19   45409011   45412650      6       3  455258       6.9514   3.6629e-81
_SET1_   ENSG00000130208    19   45417504   45422606     11       5  455258       6.9514  1.0061e-101
_SET1_   ENSG00000267467    19   45445495   45452820     29       6  455258       6.9514    1.514e-13
_SET1_   ENSG00000234906    19   45449243   45452822     16       3  455258        6.566   2.5844e-11
_SET1_   ENSG00000104853    19   45457842   45496599    124      17  455258       6.9514   2.1107e-18
_SET1_   ENSG00000104856    19   45504688   45541452     96      26  455258       6.9514   2.5872e-23
